"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.58","53.31","EDMONTON INTL A","3012216","2020-01-01","2020","01","01","","1.8","","-9.8","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","19","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2020-01-02","2020","01","02","","0.7","","-4.7","","-2.0","","20.0","","0.0","","0.0","","3.0","","1.1","","20","","30","","67",""
"-113.58","53.31","EDMONTON INTL A","3012216","2020-01-03","2020","01","03","","-4.6","","-11.3","","-8.0","","26.0","","0.0","","0.0","","0.0","T","0.0","T","21","","15","","41",""
"-113.58","53.31","EDMONTON INTL A","3012216","2020-01-04","2020","01","04","","2.0","","-11.3","","-4.7","","22.7","","0.0","","0.0","","0.0","","0.0","","21","","30","","52",""
"-113.58","53.31","EDMONTON INTL A","3012216","2020-01-05","2020","01","05","","-0.3","","-17.6","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","20","","34","","45",""
"-113.58","53.31","EDMONTON INTL A","3012216","2020-01-06","2020","01","06","","-2.1","","-17.6","","-9.9","","27.9","","0.0","","0.0","","0.0","T","0.0","T","20","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2020-01-07","2020","01","07","","-8.3","","-14.0","","-11.2","","29.2","","0.0","","0.0","","2.2","","2.2","","19","","11","","55",""
"-113.58","53.31","EDMONTON INTL A","3012216","2020-01-08","2020","01","08","","-11.4","","-18.1","","-14.8","","32.8","","0.0","","0.0","","3.2","","3.0","","21","","12","","55",""
"-113.58","53.31","EDMONTON INTL A","3012216","2020-01-09","2020","01","09","","-17.1","","-32.1","","-24.6","","42.6","","0.0","","0.0","","0.0","T","0.0","T","23","","35","","50",""
"-113.58","53.31","EDMONTON INTL A","3012216","2020-01-10","2020","01","10","","-17.2","","-31.7","","-24.5","","42.5","","0.0","","0.0","","0.0","T","0.0","T","23","","","","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2020-01-11","2020","01","11","","-18.9","","-21.7","","-20.3","","38.3","","0.0","","0.0","","1.2","","1.2","","23","","34","","35",""
"-113.58","53.31","EDMONTON INTL A","3012216","2020-01-12","2020","01","12","","-21.4","","-27.7","","-24.6","","42.6","","0.0","","0.0","","1.4","","1.4","","25","","30","","52",""
