"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.38","49.96","KELOWNA","1123939","2020-01-01","2020","01","01","","7.5","","1.0","","4.3","","13.7","","0.0","","","","","","0.0","","","","21","","46",""
"-119.38","49.96","KELOWNA","1123939","2020-01-02","2020","01","02","","6.6","","-0.7","","3.0","","15.0","","0.0","","","","","","1.5","","","","35","","78",""
"-119.38","49.96","KELOWNA","1123939","2020-01-03","2020","01","03","","2.9","","-2.5","","0.2","","17.8","","0.0","","","","","","2.8","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-04","2020","01","04","","7.5","","-1.3","","3.1","","14.9","","0.0","","","","","","0.0","","","","22","","59",""
"-119.38","49.96","KELOWNA","1123939","2020-01-05","2020","01","05","","4.8","","-2.1","","1.4","","16.6","","0.0","","","","","","0.0","","","","19","","50",""
"-119.38","49.96","KELOWNA","1123939","2020-01-06","2020","01","06","","3.9","","-1.4","","1.3","","16.7","","0.0","","","","","","8.5","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-07","2020","01","07","","0.7","","-0.9","","-0.1","","18.1","","0.0","","","","","","3.7","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-08","2020","01","08","","5.8","","-10.6","","-2.4","","20.4","","0.0","","","","","","0.0","","","","34","","48",""
"-119.38","49.96","KELOWNA","1123939","2020-01-09","2020","01","09","","-2.6","","-14.6","","-8.6","","26.6","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-10","2020","01","10","","-2.2","","-11.2","","-6.7","","24.7","","0.0","","","","","","2.2","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-11","2020","01","11","","3.8","","-5.2","","-0.7","","18.7","","0.0","","","","","","1.1","","","","17","","32",""
"-119.38","49.96","KELOWNA","1123939","2020-01-12","2020","01","12","","-0.3","","-13.8","","-7.1","","25.1","","0.0","","","","","","0.6","","","","35","","68",""
"-119.38","49.96","KELOWNA","1123939","2020-01-13","2020","01","13","","-13.8","","-22.3","","-18.1","","36.1","","0.0","","","","","","0.0","","","","35","","45",""
"-119.38","49.96","KELOWNA","1123939","2020-01-14","2020","01","14","","-16.4","","-22.1","","-19.3","","37.3","","0.0","","","","","","0.0","","","","34","","45",""
"-119.38","49.96","KELOWNA","1123939","2020-01-15","2020","01","15","","-15.5","","-17.9","","-16.7","","34.7","","0.0","","","","","","0.0","","","","34","","33",""
"-119.38","49.96","KELOWNA","1123939","2020-01-16","2020","01","16","","-8.6","","-15.5","","-12.1","","30.1","","0.0","","","","","","0.4","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-17","2020","01","17","","-6.7","","-9.9","","-8.3","","26.3","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-18","2020","01","18","","-4.3","","-8.2","","-6.3","","24.3","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-19","2020","01","19","","0.3","","-6.5","","-3.1","","21.1","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-20","2020","01","20","","2.6","","-2.8","","-0.1","","18.1","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-21","2020","01","21","","2.4","","-5.6","","-1.6","","19.6","","0.0","","","","","","0.5","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-22","2020","01","22","","4.1","","-0.9","","1.6","","16.4","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-23","2020","01","23","","5.3","","0.4","","2.9","","15.1","","0.0","","","","","","0.2","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-24","2020","01","24","","6.0","","0.7","","3.4","","14.6","","0.0","","","","","","1.6","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-25","2020","01","25","","4.1","","0.2","","2.2","","15.8","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-26","2020","01","26","","4.3","","0.5","","2.4","","15.6","","0.0","","","","","","0.2","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-27","2020","01","27","","6.6","","0.7","","3.7","","14.3","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-28","2020","01","28","","4.7","","-1.6","","1.6","","16.4","","0.0","","","","","","0.4","","","","34","","35",""
"-119.38","49.96","KELOWNA","1123939","2020-01-29","2020","01","29","","5.9","","-0.2","","2.9","","15.1","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-30","2020","01","30","","4.1","","-2.9","","0.6","","17.4","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-01-31","2020","01","31","","5.7","","1.9","","3.8","","14.2","","0.0","","","","","","0.2","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-01","2020","02","01","","9.6","","0.1","","4.9","","13.1","","0.0","","","","","","1.0","","","","23","","61",""
"-119.38","49.96","KELOWNA","1123939","2020-02-02","2020","02","02","","3.6","","-7.8","","-2.1","","20.1","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-03","2020","02","03","","0.9","","-9.4","","-4.3","","22.3","","0.0","","","","","","0.0","","","","33","","33",""
"-119.38","49.96","KELOWNA","1123939","2020-02-04","2020","02","04","","-2.9","","-11.1","","-7.0","","25.0","","0.0","","","","","","1.4","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-05","2020","02","05","","-1.1","","-4.5","","-2.8","","20.8","","0.0","","","","","","1.2","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-06","2020","02","06","","-0.2","","-3.2","","-1.7","","19.7","","0.0","","","","","","0.8","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-07","2020","02","07","","2.1","","-3.1","","-0.5","","18.5","","0.0","","","","","","1.0","","","","12","","46",""
"-119.38","49.96","KELOWNA","1123939","2020-02-08","2020","02","08","","3.3","","-3.3","","0.0","","18.0","","0.0","","","","","","0.7","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-09","2020","02","09","","0.4","","-7.8","","-3.7","","21.7","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-10","2020","02","10","","0.9","","-7.8","","-3.5","","21.5","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-11","2020","02","11","","7.9","","-6.5","","0.7","","17.3","","0.0","","","","","","0.0","","","","34","","58",""
"-119.38","49.96","KELOWNA","1123939","2020-02-12","2020","02","12","","3.0","","-6.7","","-1.9","","19.9","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-13","2020","02","13","","5.3","","-6.6","","-0.7","","18.7","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-14","2020","02","14","","5.0","","-2.1","","1.5","","16.5","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-15","2020","02","15","","4.5","","-0.6","","2.0","","16.0","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-16","2020","02","16","","5.5","","-0.8","","2.4","","15.6","","0.0","","","","","","0.0","","","","33","","37",""
"-119.38","49.96","KELOWNA","1123939","2020-02-17","2020","02","17","","5.1","","-3.7","","0.7","","17.3","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-18","2020","02","18","","4.8","","-5.3","","-0.3","","18.3","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-19","2020","02","19","","2.1","","-9.5","","-3.7","","21.7","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-20","2020","02","20","","5.6","","-10.0","","-2.2","","20.2","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-21","2020","02","21","","6.3","","-7.3","","-0.5","","18.5","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-22","2020","02","22","","6.6","","-2.1","","2.3","","15.7","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-23","2020","02","23","","4.7","","-2.1","","1.3","","16.7","","0.0","","","","","","1.3","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-24","2020","02","24","","3.7","","-1.8","","1.0","","17.0","","0.0","","","","","","1.6","","","","34","","41",""
"-119.38","49.96","KELOWNA","1123939","2020-02-25","2020","02","25","","2.4","","-4.6","","-1.1","","19.1","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-26","2020","02","26","","9.3","","-3.2","","3.1","","14.9","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-27","2020","02","27","","10.1","","-1.1","","4.5","","13.5","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-28","2020","02","28","","10.2","","-1.2","","4.5","","13.5","","0.0","","","","","","0.5","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-02-29","2020","02","29","","7.7","","-1.1","","3.3","","14.7","","0.0","","","","","","0.0","","","","18","","41",""
"-119.38","49.96","KELOWNA","1123939","2020-03-01","2020","03","01","","7.6","","-5.3","","1.2","","16.8","","0.0","","","","","","0.0","","","","26","","41",""
"-119.38","49.96","KELOWNA","1123939","2020-03-02","2020","03","02","","9.9","","3.4","","6.7","","11.3","","0.0","","","","","","0.0","","","","22","","41",""
"-119.38","49.96","KELOWNA","1123939","2020-03-03","2020","03","03","","14.1","","-0.3","","6.9","","11.1","","0.0","","","","","","0.0","","","","23","","58",""
"-119.38","49.96","KELOWNA","1123939","2020-03-04","2020","03","04","","10.2","","-2.0","","4.1","","13.9","","0.0","","","","","","0.0","","","","20","","68",""
"-119.38","49.96","KELOWNA","1123939","2020-03-05","2020","03","05","","12.2","","-3.4","","4.4","","13.6","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2020-03-06","2020","03","06","","9.2","","0.1","","4.7","","13.3","","0.0","","","","","","0.0","","","","34","","39",""
"-119.38","49.96","KELOWNA","1123939","2020-03-07","2020","03","07","","6.4","","-1.6","","2.4","","15.6","","0.0","","","","","","4.2","","","","","M","","M"
