"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-81.15","43.03","LONDON A","6144473","2020-01-01","2020","01","01","","2.6","","-3.2","","-0.3","","18.3","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-02","2020","01","02","","5.7","","1.5","","3.6","","14.4","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-03","2020","01","03","","5.9","","2.3","","4.1","","13.9","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-04","2020","01","04","","2.4","","-2.0","","0.2","","17.8","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-05","2020","01","05","","0.6","","-1.9","","-0.7","","18.7","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-06","2020","01","06","","2.8","","-2.6","","0.1","","17.9","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-07","2020","01","07","","3.5","","-5.9","","-1.2","","19.2","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-08","2020","01","08","","-1.2","","-7.7","","-4.5","","22.5","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-09","2020","01","09","","5.4","","-10.5","","-2.6","","20.6","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-10","2020","01","10","","6.8","","4.2","","5.5","","12.5","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-11","2020","01","11","","11.7","","2.5","","7.1","","10.9","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-12","2020","01","12","","2.5","","-4.9","","-1.2","","19.2","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-13","2020","01","13","","1.7","","-2.8","","-0.6","","18.6","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-14","2020","01","14","","3.6","","-1.6","","1.0","","17.0","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-15","2020","01","15","","4.8","","-0.4","","2.2","","15.8","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-16","2020","01","16","","1.5","","-9.1","","-3.8","","21.8","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-17","2020","01","17","","-7.6","","-10.7","","-9.2","","27.2","","0.0","","","M","","M","","M","","","","M","","M"
"-81.15","43.03","LONDON A","6144473","2020-01-18","2020","01","18","","3.0","","-8.0","","-2.5","","20.5","","0.0","","","M","","M","","M","","","","M","","M"
