"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-01","2020","01","01","","-1.6","","-5.4","","-3.5","","21.5","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-02","2020","01","02","","-2.3","","-6.7","","-4.5","","22.5","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-03","2020","01","03","","-4.1","","-10.9","","-7.5","","25.5","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-04","2020","01","04","","4.5","","-7.6","","-1.6","","19.6","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-05","2020","01","05","","-0.6","","-13.3","","-7.0","","25.0","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-06","2020","01","06","","-1.5","","-16.9","","-9.2","","27.2","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-07","2020","01","07","","-16.0","","-24.0","","-20.0","","38.0","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-08","2020","01","08","","-8.7","","-19.9","","-14.3","","32.3","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-09","2020","01","09","","-6.9","","-25.3","","-16.1","","34.1","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-10","2020","01","10","","-19.5","","-30.5","","-25.0","","43.0","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-11","2020","01","11","","-11.0","","-19.5","","-15.3","","33.3","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-12","2020","01","12","","-10.7","","-23.0","","-16.9","","34.9","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-13","2020","01","13","","-22.8","","-31.2","","-27.0","","45.0","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-14","2020","01","14","","-26.5","","-33.5","","-30.0","","48.0","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-15","2020","01","15","","-27.8","","-35.2","","-31.5","","49.5","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-16","2020","01","16","","-20.2","","-34.3","","-27.3","","45.3","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-17","2020","01","17","","-18.6","","-24.2","","-21.4","","39.4","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-18","2020","01","18","","-21.9","","-27.0","","-24.5","","42.5","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-19","2020","01","19","","-20.3","","-30.5","","-25.4","","43.4","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-20","2020","01","20","","-6.9","","-21.8","","-14.4","","32.4","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-21","2020","01","21","","1.3","","-13.0","","-5.9","","23.9","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-22","2020","01","22","","-2.4","","-13.7","","-8.1","","26.1","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-23","2020","01","23","","-5.0","","-10.3","","-7.7","","25.7","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-24","2020","01","24","","-5.3","","-7.1","","-6.2","","24.2","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-25","2020","01","25","","1.4","","-6.5","","-2.6","","20.6","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-26","2020","01","26","","-2.6","","-6.4","","-4.5","","22.5","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-27","2020","01","27","","-2.1","","-6.3","","-4.2","","22.2","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-28","2020","01","28","","-0.9","","-3.4","","-2.2","","20.2","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-29","2020","01","29","","-2.2","","-4.9","","-3.6","","21.6","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-30","2020","01","30","","-1.7","","-12.9","","-7.3","","25.3","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-01-31","2020","01","31","","2.7","","-13.4","","-5.4","","23.4","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-01","2020","02","01","","6.6","","-8.5","","-1.0","","19.0","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-02","2020","02","02","","2.0","","-12.1","","-5.1","","23.1","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-03","2020","02","03","","-9.2","","-19.5","","-14.4","","32.4","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-04","2020","02","04","","-3.7","","-22.2","","-13.0","","31.0","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-05","2020","02","05","","-3.7","","-15.6","","-9.7","","27.7","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-06","2020","02","06","","-5.8","","-15.6","","-10.7","","28.7","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-07","2020","02","07","","-2.0","","-14.3","","-8.2","","26.2","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-08","2020","02","08","","-2.4","","-10.1","","-6.3","","24.3","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-09","2020","02","09","","-2.2","","-14.5","","-8.4","","26.4","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-10","2020","02","10","","-3.4","","-14.5","","-9.0","","27.0","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-11","2020","02","11","","-0.4","","-15.4","","-7.9","","25.9","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-12","2020","02","12","","-11.4","","-29.5","","-20.5","","38.5","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-13","2020","02","13","","-10.5","","-29.6","","-20.1","","38.1","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-14","2020","02","14","","-0.3","","-11.7","","-6.0","","24.0","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-15","2020","02","15","","-7.6","","-18.5","","-13.1","","31.1","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-16","2020","02","16","","-2.8","","-14.2","","-8.5","","26.5","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-17","2020","02","17","","-6.6","","-21.2","","-13.9","","31.9","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-18","2020","02","18","","-16.8","","-29.5","","-23.2","","41.2","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-19","2020","02","19","","-11.3","","-30.7","","-21.0","","39.0","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-20","2020","02","20","","2.0","","-20.7","","-9.4","","27.4","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-21","2020","02","21","","3.1","","-12.7","","-4.8","","22.8","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-22","2020","02","22","","3.3","","-12.7","","-4.7","","22.7","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-23","2020","02","23","","1.8","","-9.8","","-4.0","","22.0","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-24","2020","02","24","","0.6","","-11.9","","-5.7","","23.7","","0.0","","","M","","M","","M","","","","M","","M"
"-104.67","50.43","REGINA INTL A","4016566","2020-02-25","2020","02","25","","-5.4","","-18.1","","-11.8","","29.8","","0.0","","","M","","M","","M","","","","M","","M"
