"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-01","2020","01","01","","-4.2","","-11.6","","-7.9","","25.9","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-02","2020","01","02","","-2.0","","-10.8","","-6.4","","24.4","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-03","2020","01","03","","-4.5","","-13.2","","-8.9","","26.9","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-04","2020","01","04","","2.4","","-8.0","","-2.8","","20.8","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-05","2020","01","05","","-3.8","","-12.8","","-8.3","","26.3","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-06","2020","01","06","","-3.9","","-24.3","","-14.1","","32.1","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-07","2020","01","07","","-20.8","","-29.8","","-25.3","","43.3","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-08","2020","01","08","","-11.3","","-21.0","","-16.2","","34.2","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-09","2020","01","09","","-17.4","","-29.6","","-23.5","","41.5","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-10","2020","01","10","","-20.1","","-32.4","","-26.3","","44.3","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-11","2020","01","11","","-11.9","","-20.1","","-16.0","","34.0","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-12","2020","01","12","","-13.7","","-28.7","","-21.2","","39.2","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-13","2020","01","13","","-24.7","","-31.0","","-27.9","","45.9","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-14","2020","01","14","","-25.4","","-34.8","","-30.1","","48.1","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-15","2020","01","15","","-29.6","","-38.4","","-34.0","","52.0","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-16","2020","01","16","","-20.4","","-38.3","","-29.4","","47.4","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-17","2020","01","17","","-19.2","","-22.2","","-20.7","","38.7","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-18","2020","01","18","","-22.2","","-28.5","","-25.4","","43.4","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-19","2020","01","19","","-19.4","","-31.4","","-25.4","","43.4","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-20","2020","01","20","","-2.0","","-21.1","","-11.6","","29.6","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-21","2020","01","21","","-0.9","","-14.5","","-7.7","","25.7","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-22","2020","01","22","","-4.5","","-17.4","","-11.0","","29.0","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-23","2020","01","23","","-3.7","","-10.9","","-7.3","","25.3","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-24","2020","01","24","","-0.8","","-7.3","","-4.1","","22.1","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-25","2020","01","25","","-2.5","","-5.1","","-3.8","","21.8","","0.0","","","M","","M","","M","","","","M","","M"
"-106.70","52.17","SASKATOON INTL A","4057152","2020-01-26","2020","01","26","","-3.1","","-10.1","","-6.6","","24.6","","0.0","","","M","","M","","M","","","","M","","M"
