"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-01","2021","01","01","","0.1","","-10.8","","-5.4","","23.4","","0.0","","","","","","5.0","","","","9","","45",""
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-02","2021","01","02","","0.2","","-4.0","","-1.9","","19.9","","0.0","","","","","","6.0","","","","35","","33",""
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-03","2021","01","03","","0.3","","-2.5","","-1.1","","19.1","","0.0","","","","","","2.8","","","","","M","","M"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-04","2021","01","04","","0.6","","-1.3","","-0.4","","18.4","","0.0","","","","","","0.0","","","","","M","","M"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-05","2021","01","05","","0.9","","-1.7","","-0.4","","18.4","","0.0","","","","","","0.0","","","","","M","","M"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-06","2021","01","06","","1.2","","-3.4","","-1.1","","19.1","","0.0","","","","","","0.0","","","","35","","35",""
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-07","2021","01","07","","-0.4","","-9.8","","-5.1","","23.1","","0.0","","","","","","0.0","","","","36","","42",""
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-08","2021","01","08","","-3.6","","-11.5","","-7.6","","25.6","","0.0","","","","","","0.0","","","","","M","","M"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-09","2021","01","09","","2.1","","-9.1","","-3.5","","21.5","","0.0","","","","","","0.0","","","","","M","","M"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-10","2021","01","10","","0.1","","-9.2","","-4.6","","22.6","","0.0","","","","","","0.0","","","","","M","","M"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-11","2021","01","11","","-1.7","","-8.1","","-4.9","","22.9","","0.0","","","","","","0.0","","","","27","","39",""
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-12","2021","01","12","","-2.5","","-4.0","","-3.3","","21.3","","0.0","","","","","","","M","","","","M","","M"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-13","2021","01","13","","0.9","","-2.5","","-0.8","","18.8","","0.0","","","","","","0.0","","","","23","","41",""
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2021-01-14","2021","01","14","","2.6","","-1.5","","0.6","","17.4","","0.0","","","","","","0.0","","","","11","","32",""
