"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.88","43.92","OSHAWA","6155875","2021-01-01","2021","01","01","","1.9","","-6.4","","-2.3","","20.3","","0.0","","","","","","2.0","","","","10","","46",""
"-78.88","43.92","OSHAWA","6155875","2021-01-02","2021","01","02","","1.3","","-4.4","","-1.6","","19.6","","0.0","","","","","","7.7","","","","36","","39",""
"-78.88","43.92","OSHAWA","6155875","2021-01-03","2021","01","03","","1.1","","-4.0","","-1.5","","19.5","","0.0","","","","","","2.7","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2021-01-04","2021","01","04","","-0.1","","-4.9","","-2.5","","20.5","","0.0","","","","","","0.2","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2021-01-05","2021","01","05","","0.6","","-1.1","","-0.3","","18.3","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2021-01-06","2021","01","06","","0.9","","-1.3","","-0.2","","18.2","","0.0","","","","","","0.0","","","","33","","35",""
"-78.88","43.92","OSHAWA","6155875","2021-01-07","2021","01","07","","-0.5","","-8.3","","-4.4","","22.4","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2021-01-08","2021","01","08","","-3.6","","-10.3","","-7.0","","25.0","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2021-01-09","2021","01","09","","2.7","","-5.2","","-1.3","","19.3","","0.0","","","","","","0.0","","","","33","","35",""
"-78.88","43.92","OSHAWA","6155875","2021-01-10","2021","01","10","","0.7","","-6.6","","-3.0","","21.0","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2021-01-11","2021","01","11","","0.9","","-8.3","","-3.7","","21.7","","0.0","","","","","","0.0","","","","25","","39",""
"-78.88","43.92","OSHAWA","6155875","2021-01-12","2021","01","12","","-0.5","","-1.5","","-1.0","","19.0","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2021-01-13","2021","01","13","","2.7","","-1.2","","0.8","","17.2","","0.0","","","","","","0.0","","","","20","","33",""
"-78.88","43.92","OSHAWA","6155875","2021-01-14","2021","01","14","","4.6","","0.1","","2.4","","15.6","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2021-01-15","2021","01","15","","5.6","","1.2","","3.4","","14.6","","0.0","","","","","","6.2","","","","9","","58",""
"-78.88","43.92","OSHAWA","6155875","2021-01-16","2021","01","16","","4.5","","-0.8","","1.9","","16.1","","0.0","","","","","","0.0","","","","27","","37",""
"-78.88","43.92","OSHAWA","6155875","2021-01-17","2021","01","17","","3.0","","-3.1","","-0.1","","18.1","","0.0","","","","","","0.0","","","","29","","48",""
"-78.88","43.92","OSHAWA","6155875","2021-01-18","2021","01","18","","0.5","","-5.0","","-2.3","","20.3","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2021-01-19","2021","01","19","","1.5","","-3.3","","-0.9","","18.9","","0.0","","","","","","0.2","","","","27","","54",""
"-78.88","43.92","OSHAWA","6155875","2021-01-20","2021","01","20","","-1.3","","-8.5","","-4.9","","22.9","","0.0","","","","","","0.0","","","","33","","46",""
"-78.88","43.92","OSHAWA","6155875","2021-01-21","2021","01","21","","3.1","","-1.3","","0.9","","17.1","","0.0","","","","","","0.0","","","","21","","48",""
"-78.88","43.92","OSHAWA","6155875","2021-01-22","2021","01","22","","1.8","","-9.8","","-4.0","","22.0","","0.0","","","","","","0.0","","","","28","","45",""
"-78.88","43.92","OSHAWA","6155875","2021-01-23","2021","01","23","","-5.8","","-13.7","","-9.8","","27.8","","0.0","","","","","","0.0","","","","32","","46",""
