"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-01","2021","01","01","","-0.3","","-5.7","","-3.0","","21.0","","0.0","","0.0","","2.4","","1.6","","0","T","7","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-02","2021","01","02","","-0.6","","-6.8","","-3.7","","21.7","","0.0","","0.0","","7.6","","3.5","","10","","6","","41",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-03","2021","01","03","","-2.3","","-6.8","","-4.6","","22.6","","0.0","","0.0","","0.0","T","0.0","T","8","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-04","2021","01","04","","-0.9","","-3.9","","-2.4","","20.4","","0.0","","0.0","","0.2","","0.4","","7","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-05","2021","01","05","","-1.8","","-3.4","","-2.6","","20.6","","0.0","","0.0","","0.6","","0.4","","5","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-06","2021","01","06","","-2.4","","-5.0","","-3.7","","21.7","","0.0","","0.0","","0.0","","0.0","","4","","33","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-07","2021","01","07","","-2.7","","-7.5","","-5.1","","23.1","","0.0","","0.0","","0.0","T","0.0","T","4","","33","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-08","2021","01","08","","-6.2","","-12.6","","-9.4","","27.4","","0.0","","0.0","","0.0","T","0.0","T","4","","33","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-09","2021","01","09","","-1.6","","-10.2","","-5.9","","23.9","","0.0","","0.0","","0.0","","0.0","","4","","33","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-10","2021","01","10","","-6.2","","-11.2","","-8.7","","26.7","","0.0","","0.0","","0.0","T","0.0","T","3","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-11","2021","01","11","","1.1","","-6.0","","-2.5","","20.5","","0.0","","0.0","","0.4","","0.4","","3","","26","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-12","2021","01","12","","0.8","","-2.0","","-0.6","","18.6","","0.0","","0.0","","0.0","T","0.0","T","2","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-13","2021","01","13","","0.6","","-2.7","","-1.1","","19.1","","0.0","","0.3","","0.0","","0.3","","0","T","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-14","2021","01","14","","0.4","","-0.7","","-0.2","","18.2","","0.0","","0.0","","0.0","","0.0","","2","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-15","2021","01","15","","0.7","","-2.1","","-0.7","","18.7","","0.0","","0.0","","0.4","","0.2","","2","","7","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-16","2021","01","16","","0.2","","-0.7","","-0.3","","18.3","","0.0","","","M","21.0","","14.8","","13","","7","","33",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-17","2021","01","17","","0.2","","-7.3","","-3.6","","21.6","","0.0","","0.0","","0.4","","0.2","","19","","27","","54",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-18","2021","01","18","","-7.5","","-14.9","","-11.2","","29.2","","0.0","","0.0","","0.0","","0.0","","18","","27","","33",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-19","2021","01","19","","-7.3","","-16.4","","-11.9","","29.9","","0.0","","0.0","","1.4","","0.8","","18","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-20","2021","01","20","","-9.1","","-17.9","","-13.5","","31.5","","0.0","","0.0","","0.0","T","0.0","T","18","","28","","41",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-21","2021","01","21","","-3.2","","-13.9","","-8.6","","26.6","","0.0","","0.0","","6.6","","3.0","","21","","35","","33",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-22","2021","01","22","","-2.1","","-12.8","","-7.5","","25.5","","0.0","","0.0","","0.0","T","0.0","T","25","","30","","41",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-23","2021","01","23","","-13.5","","-18.1","","-15.8","","33.8","","0.0","","0.0","T","0.0","","0.0","T","25","","29","","42",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-24","2021","01","24","","-10.5","","-18.8","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","24","","29","","48",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-25","2021","01","25","","","M","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","24","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-26","2021","01","26","","-4.3","","-7.8","","-6.1","","24.1","","0.0","","0.0","","7.6","","4.4","","24","","4","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-27","2021","01","27","","-3.6","","-8.6","","-6.1","","24.1","","0.0","","0.0","","0.4","","0.2","","30","","","","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-28","2021","01","28","","-7.9","","-18.4","","-13.2","","31.2","","0.0","","0.0","","0.0","T","0.0","T","29","","32","","45",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-29","2021","01","29","","-11.5","","-19.8","","-15.7","","33.7","","0.0","","0.0","","0.0","T","0.0","T","28","","33","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-30","2021","01","30","","-11.5","","-19.3","","-15.4","","33.4","","0.0","","0.0","","0.0","T","0.0","T","27","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2021-01-31","2021","01","31","","-12.8","","-22.0","","-17.4","","35.4","","0.0","","0.0","T","0.0","","0.0","T","27","","","M","","M"
