"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-01","2021","01","01","","-4.5","","-11.2","","-7.9","","25.9","","0.0","","","M","","M","","M","","","19","","31",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-02","2021","01","02","","-1.4","","-7.2","","-4.3","","22.3","","0.0","","","M","","M","","M","","","20","","55",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-03","2021","01","03","","3.0","","-8.4","","-2.7","","20.7","","0.0","","","M","","M","","M","","","19","","44",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-04","2021","01","04","","3.1","","-13.5","","-5.2","","23.2","","0.0","","","M","","M","","M","","","31","","39",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-05","2021","01","05","","-2.6","","-15.2","","-8.9","","26.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-06","2021","01","06","","-2.1","","-6.2","","-4.2","","22.2","","0.0","","","M","","M","","M","","","18","","39",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-07","2021","01","07","","-1.4","","-5.1","","-3.3","","21.3","","0.0","","","M","","M","","M","","","18","","42",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-08","2021","01","08","","-1.2","","-5.9","","-3.6","","21.6","","0.0","","","M","","M","","M","","","","","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-09","2021","01","09","","-3.1","","-9.7","","-6.4","","24.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-10","2021","01","10","","-1.3","","-11.0","","-6.2","","24.2","","0.0","","","M","","M","","M","","","22","","39",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-11","2021","01","11","","-3.7","","-9.8","","-6.8","","24.8","","0.0","","","M","","M","","M","","","22","","31",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-12","2021","01","12","","0.4","","-9.4","","-4.5","","22.5","","0.0","","","M","","M","","M","","","26","","37",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-13","2021","01","13","","3.1","","-9.8","","-3.4","","21.4","","0.0","","","M","","M","","M","","","17","","41",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-14","2021","01","14","","0.8","","-2.1","","-0.7","","18.7","","0.0","","","M","","M","","M","","","30","","46",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-15","2021","01","15","","-2.0","","-14.8","","-8.4","","26.4","","0.0","","","M","","M","","M","","","34","","55",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-16","2021","01","16","","-7.5","","-14.1","","-10.8","","28.8","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-17","2021","01","17","","-5.9","","-16.1","","-11.0","","29.0","","0.0","","","M","","M","","M","","","35","","39",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-18","2021","01","18","","-15.9","","-21.7","","-18.8","","36.8","","0.0","","","M","","M","","M","","","1","","35",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-19","2021","01","19","","-14.1","","-23.5","","-18.8","","36.8","","0.0","","","M","","M","","M","","","17","","57",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2021-01-20","2021","01","20","","2.9","","-13.3","","-5.2","","23.2","","0.0","","","M","","M","","M","","","26","","65",""
