"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01","2021","01","01","","-5.4","","-12.3","","-8.9","","26.9","","0.0","","","M","","M","","M","","","","M","","M"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-02","2021","01","02","","-4.0","","-9.6","","-6.8","","24.8","","0.0","","","M","","M","","M","","","6","","42",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-03","2021","01","03","","-3.5","","-12.0","","-7.8","","25.8","","0.0","","","M","","M","","M","","","","M","","M"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-04","2021","01","04","","-2.6","","-5.9","","-4.3","","22.3","","0.0","","","M","","M","","M","","","6","","33",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-05","2021","01","05","","-2.6","","-5.1","","-3.9","","21.9","","0.0","","","M","","M","","M","","","7","","52",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-06","2021","01","06","","-1.7","","-12.0","","-6.9","","24.9","","0.0","","","M","","M","","M","","","","M","","M"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-07","2021","01","07","","-0.2","","-10.5","","-5.4","","23.4","","0.0","","","M","","M","","M","","","30","","33",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-08","2021","01","08","","-4.0","","-12.4","","-8.2","","26.2","","0.0","","","M","","M","","M","","","26","","42",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-09","2021","01","09","","-2.1","","-8.2","","-5.2","","23.2","","0.0","","","M","","M","","M","","","","M","","M"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-10","2021","01","10","","-5.3","","-13.4","","-9.4","","27.4","","0.0","","","M","","M","","M","","","22","","37",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-11","2021","01","11","","-4.3","","-7.8","","-6.1","","24.1","","0.0","","","M","","M","","M","","","25","","31",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-12","2021","01","12","","-1.5","","-6.2","","-3.9","","21.9","","0.0","","","M","","M","","M","","","","M","","M"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-13","2021","01","13","","-0.9","","-3.0","","-2.0","","20.0","","0.0","","","M","","M","","M","","","","M","","M"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-14","2021","01","14","","0.2","","-2.4","","-1.1","","19.1","","0.0","","","M","","M","","M","","","","M","","M"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-15","2021","01","15","","1.4","","-3.5","","-1.1","","19.1","","0.0","","","M","","M","","M","","","7","","31",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-16","2021","01","16","","0.0","","-2.8","","-1.4","","19.4","","0.0","","","M","","M","","M","","","6","","78",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-17","2021","01","17","","-0.4","","-3.1","","-1.8","","19.8","","0.0","","","M","","M","","M","","","24","","46",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-18","2021","01","18","","-3.5","","-14.3","","-8.9","","26.9","","0.0","","","M","","M","","M","","","26","","44",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-19","2021","01","19","","-9.9","","-15.8","","-12.9","","30.9","","0.0","","","M","","M","","M","","","25","","35",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-20","2021","01","20","","-8.7","","-18.7","","-13.7","","31.7","","0.0","","","M","","M","","M","","","","M","","M"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-21","2021","01","21","","-9.0","","-18.4","","-13.7","","31.7","","0.0","","","M","","M","","M","","","6","","39",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-22","2021","01","22","","-6.8","","-11.0","","-8.9","","26.9","","0.0","","","M","","M","","M","","","8","","44",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-23","2021","01","23","","-7.8","","-14.3","","-11.1","","29.1","","0.0","","","M","","M","","M","","","25","","48",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-24","2021","01","24","","-10.1","","-15.6","","-12.9","","30.9","","0.0","","","M","","M","","M","","","23","","50",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-25","2021","01","25","","","M","","M","","M","","M","","M","","M","","M","","M","","","24","","48",""
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-26","2021","01","26","","-4.0","","-19.6","","-11.8","","29.8","","0.0","","","M","","M","","M","","","","","","M"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-27","2021","01","27","","-0.8","","-4.8","","-2.8","","20.8","","0.0","","","M","","M","","M","","","","M","","M"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-28","2021","01","28","","-3.4","","-12.9","","-8.2","","26.2","","0.0","","","M","","M","","M","","","25","","33",""
