"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-82.96","42.28","WINDSOR A","6139530","2021-01-01","2021","01","01","","0.8","","-6.0","","-2.6","","20.6","","0.0","","","","","","9.0","","","","8","","50",""
"-82.96","42.28","WINDSOR A","6139530","2021-01-02","2021","01","02","","2.1","","0.1","","1.1","","16.9","","0.0","","","","","","0.2","","","","","M","","M"
"-82.96","42.28","WINDSOR A","6139530","2021-01-03","2021","01","03","","1.4","","0.0","","0.7","","17.3","","0.0","","","","","","4.7","","","","","M","","M"
"-82.96","42.28","WINDSOR A","6139530","2021-01-04","2021","01","04","","1.1","","-0.6","","0.3","","17.7","","0.0","","","","","","0.0","","","","","M","","M"
"-82.96","42.28","WINDSOR A","6139530","2021-01-05","2021","01","05","","1.3","","-0.8","","0.3","","17.7","","0.0","","","","","","0.2","","","","","M","","M"
"-82.96","42.28","WINDSOR A","6139530","2021-01-06","2021","01","06","","3.2","","0.7","","2.0","","16.0","","0.0","","","","","","0.0","","","","","M","","M"
"-82.96","42.28","WINDSOR A","6139530","2021-01-07","2021","01","07","","2.5","","-1.5","","0.5","","17.5","","0.0","","","","","","0.0","","","","2","","35",""
"-82.96","42.28","WINDSOR A","6139530","2021-01-08","2021","01","08","","0.3","","-3.0","","-1.4","","19.4","","0.0","","","","","","0.0","","","","35","","39",""
"-82.96","42.28","WINDSOR A","6139530","2021-01-09","2021","01","09","","4.7","","-5.2","","-0.3","","18.3","","0.0","","","","","","0.0","","","","","M","","M"
"-82.96","42.28","WINDSOR A","6139530","2021-01-10","2021","01","10","","2.6","","-5.7","","-1.6","","19.6","","0.0","","","","","","0.0","","","","","M","","M"
"-82.96","42.28","WINDSOR A","6139530","2021-01-11","2021","01","11","","-1.0","","-3.9","","-2.5","","20.5","","0.0","","","","","","0.0","","","","23","","45",""
"-82.96","42.28","WINDSOR A","6139530","2021-01-12","2021","01","12","","0.0","","-3.6","","-1.8","","19.8","","0.0","","","","","","0.0","","","","22","","37",""
"-82.96","42.28","WINDSOR A","6139530","2021-01-13","2021","01","13","","5.9","","-0.9","","2.5","","15.5","","0.0","","","","","","0.0","","","","23","","41",""
"-82.96","42.28","WINDSOR A","6139530","2021-01-14","2021","01","14","","5.6","","0.5","","3.1","","14.9","","0.0","","","","","","0.0","","","","20","","35",""
"-82.96","42.28","WINDSOR A","6139530","2021-01-15","2021","01","15","","4.4","","-1.9","","1.3","","16.7","","0.0","","","","","","2.6","","","","11","","41",""
"-82.96","42.28","WINDSOR A","6139530","2021-01-16","2021","01","16","","0.2","","-3.8","","-1.8","","19.8","","0.0","","","","","","0.0","","","","24","","35",""
"-82.96","42.28","WINDSOR A","6139530","2021-01-17","2021","01","17","","2.7","","-0.3","","1.2","","16.8","","0.0","","","","","","0.2","","","","","M","","M"
"-82.96","42.28","WINDSOR A","6139530","2021-01-18","2021","01","18","","1.8","","-1.5","","0.2","","17.8","","0.0","","","","","","0.0","","","","25","","42",""
